City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Snow,Rain,Country,Current Description,Date
92,Pacifica,37.61,-122.49,60.01,87,90,3.83,0.0,0.0,US,fog,2019-11-09 18:23:46
93,Isangel,-19.55,169.27,73.96,81,25,4.72,0.0,0.38,VU,light rain,2019-11-09 18:27:42
94,Esperance,-33.86,121.89,71.6,24,15,19.46,0.0,0.0,AU,few clouds,2019-11-09 18:27:42
95,Port-Gentil,-0.72,8.78,75.2,100,90,14.99,0.0,0.0,GA,light rain,2019-11-09 18:27:42
96,Lompoc,34.64,-120.46,73.0,55,1,6.82,0.0,0.0,US,clear sky,2019-11-09 18:27:38
97,Bontang,0.12,117.47,78.1,82,93,8.16,0.0,0.0,ID,overcast clouds,2019-11-09 18:27:43
98,Mahebourg,-20.41,57.7,73.99,83,75,5.82,0.0,0.0,MU,broken clouds,2019-11-09 18:27:43
99,Lavrentiya,65.58,-170.99,34.59,98,100,6.08,0.0,1.44,RU,light rain,2019-11-09 18:27:12
100,Coihaique,-45.58,-72.07,64.4,45,40,4.7,0.0,0.0,CL,scattered clouds,2019-11-09 18:27:43
101,Breves,-1.68,-50.48,94.17,42,68,3.91,0.0,0.0,BR,broken clouds,2019-11-09 18:27:44
102,Tuatapere,-46.13,167.69,48.99,92,100,5.01,0.0,6.63,NZ,moderate rain,2019-11-09 18:27:44
103,Ajdabiya,30.75,20.22,76.78,29,62,13.29,0.0,0.0,LY,broken clouds,2019-11-09 18:27:44
104,Vila Franca Do Campo,37.72,-25.43,68.0,72,20,6.93,0.0,0.0,PT,few clouds,2019-11-09 18:27:45
105,Gat,14.69,-16.54,98.6,22,57,6.93,0.0,0.0,SN,broken clouds,2019-11-09 18:27:45
106,Katsuura,33.93,134.5,59.0,67,75,13.87,0.0,0.0,JP,broken clouds,2019-11-09 18:27:45
107,Konongo,6.62,-1.21,77.27,82,80,1.83,0.0,0.94,GH,light rain,2019-11-09 18:27:45
108,Kaitangata,-46.28,169.85,50.0,94,93,11.01,0.0,6.06,NZ,moderate rain,2019-11-09 18:27:45
109,Tommot,58.97,126.27,6.93,96,100,2.17,0.44,0.0,RU,light snow,2019-11-09 18:27:46
110,Wanning,48.64,13.53,39.99,93,90,2.24,0.0,0.0,AT,overcast clouds,2019-11-09 18:27:46
111,Ribeira Grande,38.52,-28.7,68.0,68,20,4.7,0.0,0.0,PT,few clouds,2019-11-09 18:26:37
112,Sorong,-0.86,131.25,72.3,98,87,0.96,0.0,1.13,ID,light rain,2019-11-09 18:27:46
113,Rongcheng,37.16,122.42,52.0,77,100,1.01,0.0,0.0,CN,overcast clouds,2019-11-09 18:27:46
114,Kahului,20.89,-156.47,77.0,83,20,3.36,0.0,0.0,US,few clouds,2019-11-09 18:26:03
115,Caravelas,-17.73,-39.27,83.35,59,1,16.13,0.0,0.0,BR,clear sky,2019-11-09 18:27:47
116,Norman Wells,65.28,-126.83,-2.21,84,40,5.82,0.0,0.0,CA,scattered clouds,2019-11-09 18:27:47
117,Sao Luiz Gonzaga,-28.41,-54.96,88.63,52,12,4.38,0.0,0.38,BR,light rain,2019-11-09 18:27:47
118,Udachnyy,66.42,112.4,-2.21,84,90,4.47,0.0,0.0,RU,light snow,2019-11-09 18:23:20
119,Naze,5.43,7.07,82.69,71,83,2.13,0.0,0.75,NG,light rain,2019-11-09 18:27:48
120,Ola,59.58,151.3,20.48,61,100,18.28,0.0,0.0,RU,overcast clouds,2019-11-09 18:27:48
121,Ferkessedougou,9.6,-5.2,83.26,51,24,4.05,0.0,0.0,CI,few clouds,2019-11-09 18:27:48
122,Yabelo,4.89,38.09,66.92,80,41,7.25,0.0,1.31,ET,light rain,2019-11-09 18:27:49
123,Roald,62.58,6.12,32.0,55,0,13.87,0.0,0.0,NO,clear sky,2019-11-09 18:27:49
124,Tasiilaq,65.61,-37.64,37.4,64,100,29.97,0.0,0.0,GL,light intensity drizzle,2019-11-09 18:27:49
125,Laguna,16.17,-88.94,84.2,70,40,4.7,0.0,0.0,BZ,scattered clouds,2019-11-09 18:27:49
126,Avera,33.19,-82.53,54.0,37,1,6.93,0.0,0.0,US,clear sky,2019-11-09 18:27:49
127,Kapaa,22.08,-159.32,71.6,93,75,11.41,0.0,0.0,US,moderate rain,2019-11-09 18:26:33
128,Tuktoyaktuk,69.44,-133.03,1.4,77,20,19.46,0.0,0.0,CA,few clouds,2019-11-09 18:23:57
129,Bilibino,68.06,166.44,0.16,63,0,2.62,0.0,0.0,RU,clear sky,2019-11-09 18:27:50
130,Krapkowice,50.47,17.97,48.0,100,100,2.21,0.0,0.0,PL,overcast clouds,2019-11-09 18:27:50
131,Butaritari,3.07,172.79,83.86,67,100,4.7,0.0,0.0,KI,overcast clouds,2019-11-09 18:27:51
132,Santa Maria,-16.02,-48.01,91.4,29,40,14.99,0.0,0.0,BR,scattered clouds,2019-11-09 18:27:51
133,Cabo San Lucas,22.89,-109.91,90.0,48,40,6.93,0.0,0.0,MX,scattered clouds,2019-11-09 18:27:51
134,Panzhihua,26.59,101.72,56.41,86,28,1.45,0.0,0.0,CN,scattered clouds,2019-11-09 18:27:51
135,Waipawa,-39.94,176.59,53.01,91,33,3.0,0.0,0.0,NZ,scattered clouds,2019-11-09 18:23:38
136,Avarua,-21.21,-159.78,73.4,83,43,12.75,0.0,0.12,CK,light rain,2019-11-09 18:27:52
137,Souillac,45.6,-0.6,48.2,93,100,12.75,0.0,4.13,FR,moderate rain,2019-11-09 18:27:52
138,Mecca,21.43,39.83,82.44,50,0,1.83,0.0,0.0,SA,clear sky,2019-11-09 18:25:57
139,Hauterive,49.18,-68.27,28.4,36,75,17.22,0.0,0.0,CA,broken clouds,2019-11-09 18:27:53
140,Goure,13.98,10.27,89.01,14,5,1.99,0.0,0.0,NE,clear sky,2019-11-09 18:27:53
141,Touros,-5.2,-35.46,86.0,55,40,13.87,0.0,0.0,BR,scattered clouds,2019-11-09 18:27:53
142,Oga,46.46,10.35,33.8,92,36,2.24,0.0,0.0,IT,scattered clouds,2019-11-09 18:27:54
143,Codrington,-28.95,153.24,57.99,81,0,4.7,0.0,0.0,AU,clear sky,2019-11-09 18:27:54
144,Khatanga,71.98,102.47,-2.98,96,100,13.15,0.38,0.0,RU,light snow,2019-11-09 18:24:06
145,Klaksvik,62.23,-6.59,37.4,86,100,11.41,0.0,0.0,FO,overcast clouds,2019-11-09 18:27:54
146,Puerto Ayora,-0.74,-90.35,78.8,65,40,16.11,0.0,0.0,EC,scattered clouds,2019-11-09 18:27:18
147,Provideniya,64.42,-173.23,33.13,98,100,3.56,0.0,0.69,RU,light rain,2019-11-09 18:27:55
148,Phan Thiet,10.93,108.1,71.85,96,100,2.71,0.0,0.0,VN,overcast clouds,2019-11-09 18:27:55
149,Pevek,69.7,170.27,5.2,91,54,7.14,0.0,0.0,RU,broken clouds,2019-11-09 18:26:31
150,Nouadhibou,20.93,-17.03,71.6,64,73,17.22,0.0,0.0,MR,dust,2019-11-09 18:27:56
151,Tiksi,71.64,128.87,-11.4,97,85,5.19,0.0,0.0,RU,overcast clouds,2019-11-09 18:27:56
152,Jacqueville,5.21,-4.42,84.2,79,20,8.05,0.0,0.0,CI,few clouds,2019-11-09 18:27:56
153,Halifax,44.65,-63.58,37.99,68,40,9.17,0.0,0.0,CA,light rain,2019-11-09 18:26:40
154,Lagos,6.46,3.39,80.6,94,40,4.7,0.0,0.0,NG,thunderstorm,2019-11-09 18:27:57
155,Ilhabela,-23.78,-45.36,74.61,89,90,20.02,0.0,0.19,BR,light rain,2019-11-09 18:24:25
156,Vidim,50.47,14.53,42.8,80,40,12.75,0.0,0.0,CZ,scattered clouds,2019-11-09 18:27:57
157,Kluang,2.04,103.32,75.2,94,75,1.61,0.0,0.0,MY,broken clouds,2019-11-09 18:27:58
158,Sao Gabriel Da Cachoeira,-0.13,-67.09,89.6,59,40,5.82,0.0,0.0,BR,scattered clouds,2019-11-09 18:27:58
159,Sergeyevka,53.88,67.42,22.68,51,50,10.69,0.0,0.0,KZ,scattered clouds,2019-11-09 18:27:58
160,Los Llanos De Aridane,28.66,-17.92,69.8,68,75,20.8,0.0,0.0,ES,broken clouds,2019-11-09 18:27:59
161,Paris,48.86,2.35,44.01,87,90,9.17,0.0,0.0,FR,overcast clouds,2019-11-09 18:26:55
162,Urusha,54.05,122.9,5.74,96,99,3.58,0.0,0.0,RU,overcast clouds,2019-11-09 18:27:59
163,Nome,30.04,-94.42,63.0,33,1,3.36,0.0,0.0,US,clear sky,2019-11-09 18:24:31
164,Salalah,17.01,54.1,80.6,74,40,3.36,0.0,0.0,OM,scattered clouds,2019-11-09 18:26:20
165,Victoria,5.28,115.24,78.01,88,75,3.36,0.0,0.0,BN,broken clouds,2019-11-09 18:28:00
166,Ginir,7.14,40.71,58.89,95,99,0.09,0.0,2.94,ET,light rain,2019-11-09 18:28:00
167,Abalak,15.46,6.28,88.59,10,25,7.25,0.0,0.0,NE,scattered clouds,2019-11-09 18:28:00
168,Varhaug,58.61,5.65,33.01,59,40,5.17,0.0,0.0,NO,scattered clouds,2019-11-09 18:28:00
169,Bambous Virieux,-20.34,57.76,73.99,83,75,5.82,0.0,0.0,MU,broken clouds,2019-11-09 18:28:01
170,Iracoubo,5.48,-53.21,82.76,78,21,12.71,0.0,0.0,GF,few clouds,2019-11-09 18:28:01
171,Cockburn Town,21.46,-71.14,86.0,66,40,11.41,0.0,0.0,TC,scattered clouds,2019-11-09 18:28:01
172,Saint-Pierre,48.95,4.24,41.0,100,20,10.29,0.0,0.0,FR,few clouds,2019-11-09 18:28:02
173,Hinton,53.4,-117.57,11.41,92,100,3.87,0.81,0.0,CA,light snow,2019-11-09 18:28:02
174,Sterling,39.0,-77.4,45.0,56,1,6.93,0.0,0.0,US,clear sky,2019-11-09 18:25:24
175,Severo-Kurilsk,50.68,156.12,32.2,85,83,26.06,2.19,0.0,RU,snow,2019-11-09 18:28:02
176,Ixtapa,20.71,-105.21,88.0,66,5,5.82,0.0,0.0,MX,clear sky,2019-11-09 18:28:03
177,Fortuna,40.6,-124.16,53.01,93,90,0.54,0.0,0.0,US,overcast clouds,2019-11-09 18:28:03
178,Follonica,42.93,10.76,52.0,87,75,4.7,0.0,0.0,IT,light rain,2019-11-09 18:28:04
