City ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
134,Panzhihua,CN,56.41,scattered clouds,26.59,101.72,Electric Power Hotel
135,Waipawa,NZ,53.01,scattered clouds,-39.94,176.59,T A Commercial Hotel
138,Mecca,SA,82.44,clear sky,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
140,Goure,NE,89.01,clear sky,13.98,10.27,
141,Touros,BR,86.0,scattered clouds,-5.2,-35.46,INN NEW HORIZON
143,Codrington,AU,57.99,clear sky,-28.95,153.24,
146,Puerto Ayora,EC,78.8,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
148,Phan Thiet,VN,71.85,overcast clouds,10.93,108.1,Hotel Saigon-PT
150,Nouadhibou,MR,71.6,dust,20.93,-17.03,El Medina
152,Jacqueville,CI,84.2,few clouds,5.21,-4.42,Hotel Le Martin Pecheur
154,Lagos,NG,80.6,thunderstorm,6.46,3.39,"Radisson Blu Anchorage Hotel, Lagos, V.I."
156,Vidim,CZ,42.8,scattered clouds,50.47,14.53,Hotel Kokořín
157,Kluang,MY,75.2,broken clouds,2.04,103.32,Hotel Anika
158,Sao Gabriel Da Cachoeira,BR,89.6,scattered clouds,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
160,Los Llanos De Aridane,ES,69.8,broken clouds,28.66,-17.92,Valle Aridane
161,Paris,FR,44.01,overcast clouds,48.86,2.35,Citadines Les Halles Paris (Apart Hotel Paris)
163,Nome,US,63.0,clear sky,30.04,-94.42,Silver Spur Mobile Home & RV Park
164,Salalah,OM,80.6,scattered clouds,17.01,54.1,HAMDAN PLAZA HOTEL
165,Victoria,BN,78.01,broken clouds,5.28,115.24,Tiara Labuan Hotel
167,Abalak,NE,88.59,scattered clouds,15.46,6.28,auberge de tenere
169,Bambous Virieux,MU,73.99,broken clouds,-20.34,57.76,Casa Tia Villa
170,Iracoubo,GF,82.76,few clouds,5.48,-53.21,
171,Cockburn Town,TC,86.0,scattered clouds,21.46,-71.14,Osprey Beach Hotel
172,Saint-Pierre,FR,41.0,few clouds,48.95,4.24,Auberge des Moissons
174,Sterling,US,45.0,clear sky,39.0,-77.4,Hampton Inn & Suites Washington-Dulles International Airport
176,Ixtapa,MX,88.0,clear sky,20.71,-105.21,Container Inn Puerto Vallarta
177,Fortuna,US,53.01,overcast clouds,40.6,-124.16,Super 8 By Wyndham Fortuna
178,Follonica,IT,52.0,light rain,42.93,10.76,Hotel Parrini
179,Srandakan,ID,74.79,broken clouds,-7.94,110.25,Puri Brata
181,Osypenko,UA,52.0,mist,48.04,34.39,
183,Saint George,GR,59.0,scattered clouds,39.45,22.34,
185,Carutapera,BR,81.99,broken clouds,-1.2,-46.02,Lidera
187,Cidreira,BR,71.42,clear sky,-30.17,-50.22,Pond Country Club
188,Pemba,MZ,80.6,broken clouds,-12.97,40.52,Guesthouse Samotina
189,Poum,MK,51.8,overcast clouds,41.28,20.71,Dolno Tateši
191,Mount Isa,AU,62.6,broken clouds,-20.73,139.49,ibis Styles Mt Isa Verona
192,Abu Dhabi,AE,80.6,broken clouds,24.47,54.37,Beach Rotana
193,Valle Del Guamuez,CO,84.2,broken clouds,0.45,-76.92,Hotel Casa Blanca Orito
195,Houma,CN,45.25,few clouds,35.63,111.36,IU Hotel Linfen Houma Time Square
196,Kattivakkam,IN,84.0,mist,13.22,80.32,Sachidanandam
197,Sharjah,AE,80.6,clear sky,25.36,55.39,Swiss Belhotel Sharjah
198,Moundou,TD,81.95,overcast clouds,8.57,16.07,Auberge Le Roi
200,Huilong,CN,57.24,overcast clouds,31.15,106.5,Huilong Hostel
201,Saldanha,PT,44.04,overcast clouds,41.42,-6.55,
204,Plettenberg Bay,ZA,63.82,overcast clouds,-34.05,23.37,Thanda Vista B&B
206,Abu Samrah,SY,67.64,clear sky,35.3,37.18,
208,Ashland,US,48.0,broken clouds,38.48,-82.64,Ashland Inn
209,Dingle,PH,73.62,broken clouds,11.0,122.67,Camp Pasica
210,Yining,CN,54.09,overcast clouds,29.04,114.56,Xiushui Hotel
212,Carnarvon,ZA,75.94,overcast clouds,-30.97,22.13,Meerkat Manor
214,Warmbad,DE,42.8,overcast clouds,50.67,13.08,"Hotel & Restaurant ""Waldmühle"""
219,Pouebo,NC,62.28,clear sky,-20.4,164.57,
223,Sinnamary,GF,82.76,few clouds,5.38,-52.96,ALETHEIA Appartement Sinnamary
224,Lagoa,PT,62.6,scattered clouds,37.14,-8.45,Agua Hotels Vale Da Lapa Lagoa
226,Chinsali,ZM,79.52,scattered clouds,-10.55,32.07,MANDA ENOCK
227,Port Elizabeth,US,46.0,clear sky,39.31,-74.98,HAMMER RUN
228,Ineu,RO,59.0,overcast clouds,46.43,21.84,Casa Lui Alin
229,Faya,SA,60.8,scattered clouds,18.39,42.45,مقبرة ال مجمل
230,Chara,GR,59.0,scattered clouds,39.42,22.43,
232,Narsaq,GL,44.6,light rain,60.91,-46.05,Hotel Narsaq
234,Newport,GB,45.0,mist,51.59,-3.0,Hotel ibis budget Newport
235,Tecoanapa,MX,89.6,clear sky,16.99,-99.26,Hotel JAMAICA
236,Lichinga,MZ,76.14,scattered clouds,-13.3,35.25,Resthouse Will Senjewe
238,Cabedelo,BR,84.2,scattered clouds,-6.97,-34.84,Lua Mansa Pousada
239,Tongliao,CN,46.2,overcast clouds,43.61,122.27,Meirujia Hotel
240,Cayenne,GF,89.6,clear sky,4.94,-52.33,Hôtel Le Dronmi
242,Giyani,ZA,71.6,broken clouds,-23.32,30.73,Kulani Country Lodge
244,Rawson,AR,52.81,clear sky,-43.3,-65.11,Hospedaje Sampedro
247,Constitucion,MX,69.8,few clouds,23.99,-104.67,Hotel Posada San Agustin
248,Tongchuan,CN,42.8,clear sky,34.9,108.95,Yaozhou Hotel
249,Taoudenni,ML,78.73,broken clouds,22.68,-3.98,
250,Guerrero Negro,MX,79.48,overcast clouds,27.97,-114.04,The Halfway Inn
251,Margate,AU,48.99,scattered clouds,-43.03,147.26,Villa Howden
252,Padang,ID,67.71,overcast clouds,-0.92,100.36,Mercure Padang
253,Manchester,US,41.0,few clouds,43.0,-71.45,Hilton Garden Inn Manchester Downtown
255,Griffith,AU,51.8,clear sky,-34.29,146.06,Econo Lodge Griffith Motor Inn
257,Martinez,US,64.99,haze,38.01,-122.13,Best Western John Muir Inn
259,Avila,US,45.0,clear sky,38.91,-76.61,Moodo hotels
262,Ghanzi,BW,85.37,broken clouds,-21.7,21.65,Kalahari Arms Hotel
263,Talara,PE,62.6,broken clouds,-4.58,-81.27,Hostal Oro Negro
267,Lenina,UA,48.76,scattered clouds,48.44,39.15,
269,Itoman,JP,69.8,few clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
270,Talwandi Bhai,IN,65.95,clear sky,30.86,74.93,Richmond Villa's
273,Karaton,ID,78.8,few clouds,-6.34,106.1,Parkir Mobil Wisata CAS Water Park
274,Bilma,NE,78.57,few clouds,18.69,12.92,Expeditions Ténére voyages
